名字,户型,可住,价格,图片,评价,类型,城市
大东海下楼百米金茂两房一厅可做饭,2室,宜住4人,￥158,,"
                                        5.0
                                    ",整租,sanya
大东海 蓝海豪苑 精装海景两房一厅,2室,宜住6人,￥158,,"
                                        5.0
                                    ",整租,sanya
大东海 金茂全海景 两房短租房带厨房,2室,宜住4人,￥388,,"
                                        5.0
                                    ",整租,sanya
三亚湾椰梦长廊新浪公馆奢华海景两房（送游艇潜水）,2室,宜住4人,￥318,,"
                                        5.0
                                    ",整租,sanya
大东海 金茂海景花园 海景地中海三室三卫,3室,宜住6人,￥500,,"
                                        5.0
                                    ",整租,sanya
三亚湾无死角海景豪华二房一厅2－4人房,2室,宜住4人,￥2988,,"
                                        5.0
                                    ",整租,sanya
三亚湾海月广场椰梦长廊金凤凰高级海景双床房（送游艇潜水）,1室,宜住3人,￥158,,"
                                        5.0
                                    ",整租,sanya
大东海金茂远海景三房一厅可做饭,3室,宜住6人,￥488,,"
                                        4.9
                                    ",整租,sanya
高层大阳台看双海海景两室一厅一厨一卫【大东海。凤凰岛】,2室,宜住4人,￥380,,"
                                        5.0
                                    ",整租,sanya
地中海海景两室一厅一厨一卫,2室,宜住6人,￥225,,"
                                        5.0
                                    ",整租,sanya
三亚湾路吉祥街口无死角海景弧形窗三房一厅套房5,3室,宜住7人,￥438,,"
                                        4.5
                                    ",整租,sanya
【一抹幽兰】.ins风家庭套房/近机场火车站/近椰梦长廊/赠送出海一日游,3室,宜住6人,￥680,,"
                                        5.0
                                    ",整租,sanya
【波尔多小调】.北欧风家庭套房/近机场火车站/近椰梦长廊/近海月广场/赠送出海一,3室,宜住6人,￥680,,"
                                        5.0
                                    ",整租,sanya
三亚湾 园景4人房,6室,宜住4人,￥88,,5.0,单间出租,sanya
海景阳台4人间,4室,宜住4人,￥88,,"
                                        1.0
                                    ",单间出租,sanya
天涯海角崖州古城附近爬山观海整租,2室,宜住4人,￥988,,"
                                        5.0
                                    ",整租,sanya
三亚湾网红打卡蜜月大床房,1室,宜住2人,￥188,,"
                                        5.0
                                    ",整租,sanya
三亚湾海边中式风大床房,1室,宜住2人,￥398,,"
                                        5.0
                                    ",整租,sanya
三亚湾靠近海边高级海景大床房,1室,宜住2人,￥398,,"
                                        5.0
                                    ",整租,sanya
金茂海景豪华欧式三房三卫,3室,宜住6人,￥288,,"
                                        5.0
                                    ",整租,sanya
（圣托里尼）精装园景2室1厅五晚接机赠潜水免税店一日游,2室,宜住4人,￥358,,"
                                        4.9
                                    ",整租,sanya
（海盗船长）精装园景2室1厅五晚接机赠潜水免税店一日游,2室,宜住4人,￥358,,"
                                        5.0
                                    ",整租,sanya
（地中海风情）精装园景2室1厅五晚接机赠潜水免税店一日游,2室,宜住4人,￥358,,"
                                        5.0
                                    ",整租,sanya
三亚鹿回头附近年少之梦海景大床房,1室,宜住2人,￥120,,"
                                        5.0
                                    ",整租,sanya
正面海景5人套间（两房两厅）,2室,宜住4人,￥788,,"
                                        5.0
                                    ",整租,sanya
豪华海景子母双标房,1室,宜住3人,￥1488,,"
                                        5.0
                                    ",整租,sanya
大东海度假区附近的三人间,1室,宜住3人,￥158,,"
                                        5.0
                                    ",整租,sanya
昌达海景花园亲子间,1室,宜住3人,￥108,,5.0,单间出租,sanya
昌达海景花园 正海景大床,6室,宜住2人,￥78,,"
                                        4.3
                                    ",单间出租,sanya
明亮远景双标,6室,宜住2人,￥100,,5.0,单间出租,sanya
下楼1分钟到海边 正海景字母房,6室,宜住3人,￥88,,"
                                        5.0
                                    ",单间出租,sanya
三亚湾 美丽新海岸 豪华海景蜜月大床房,1室,宜住2人,￥156,,"
                                        5.0
                                    ",整租,sanya
三亚湾 美丽新海岸小区 豪华海景两室套房,2室,宜住4人,￥328,,"
                                        5.0
                                    ",整租,sanya
三亚湾海波度假区高级海景大床房,1室,宜住2人,￥143,,"
                                        5.0
                                    ",整租,sanya
一线海景家庭套房（两房一厅）,2室,宜住4人,￥328,,"
                                        5.0
                                    ",整租,sanya
亚龙湾 申亚翡翠谷小区内 高级大床房,1室,宜住2人,￥168,,"
                                        4.7
                                    ",整租,sanya
大东海金茂园林景观蜜月房两房,2室,宜住4人,￥438,,"
                                        5.0
                                    ",整租,sanya
温馨海景蜜月套房（一房一厅）,1室,宜住2人,￥188,,"
                                        4.9
                                    ",整租,sanya
别墅园景大床房,1室,宜住2人,￥158,,"
                                        5.0
                                    ",整租,sanya
三亚椰林滩附近一线海景蜜月套房,1室,宜住2人,￥188,,"
                                        5.0
                                    ",整租,sanya
三亚鹿回头附近雅致山景双床房,1室,宜住2人,￥128,,"
                                        5.0
                                    ",整租,sanya
三亚大东海鹿回头附近结伴而行山景三人房,1室,宜住3人,￥148,,"
                                        4.9
                                    ",整租,sanya
大东海金茂海景花园小区二房一厅套房,2室,宜住5人,￥258,,"
                                        5.0
                                    ",整租,sanya
海景家庭套房（一室一厅）,1室,宜住3人,￥218,,"
                                        4.9
                                    ",整租,sanya
一线海景豪华大床房,1室,宜住2人,￥1488,,"
                                        5.0
                                    ",整租,sanya
大东海海边标准双人间,1室,宜住2人,￥108,,"
                                        4.9
                                    ",整租,sanya
三亚湾高端希尔顿套房,2室,宜住5人,￥680,,5.0,整租,sanya
大东海鹿回头景区附近 月光双床房,1室,宜住2人,￥118,,"
                                        5.0
                                    ",整租,sanya
三亚大东海鹿回头景区附近月光大床房,2室,宜住2人,￥100,,"
                                        5.0
                                    ",整租,sanya
三亚大东海鹿回头景区其乐融融山景三人房,1室,宜住3人,￥148,,"
                                        5.0
                                    ",整租,sanya
三亚鹿回头附近似火骄阳海景大床房,1室,宜住2人,￥120,,"
                                        5.0
                                    ",整租,sanya
三亚鹿回头附近深海之蓝海景大床房,1室,宜住2人,￥120,,"
                                        5.0
                                    ",整租,sanya
三亚市区三亚湾海景三房 4晚免费接机+免税店车接送 近菜市场医院药店千古情,3室,宜住6人,￥299,,"
                                        5.0
                                    ",整租,sanya
离海边200米海景大6居2厅可住15人楼下免费泳池,6室,宜住15人,￥880,,"
                                        4.8
                                    ",整租,sanya
天涯一家人海景度假公寓,3室,宜住6人,￥688,,5.0,整租,sanya
大东海景区 步行2分钟到海边、标准三人间,1室,宜住3人,￥108,,"
                                        4.8
                                    ",整租,sanya
大东海  步行两三分钟到海边大床房,1室,宜住1人,￥108,,"
                                        5.0
                                    ",整租,sanya
海棠人家温馨双床套房,1室,宜住2人,￥388,,5.0,整租,sanya
海棠人家温馨大床套房,1室,宜住2人,￥388,,"
                                        5.0
                                    ",整租,sanya
公主郡花园洋房一室一厅 海边接送服务,1室,宜住2人,￥218,,"
                                        5.0
                                    ",整租,sanya
公主郡园景两室一厅洋房,2室,宜住4人,￥358,,"
                                        5.0
                                    ",整租,sanya
椰梦长廊附近 全海景蜜月大床房,1室,宜住2人,￥338,,"
                                        5.0
                                    ",整租,sanya
三亚湾 蓝色海岸 超级无死角海景蜜月 大床房,1室,宜住2人,￥1888,,"
                                        5.0
                                    ",整租,sanya
三亚湾海边 园景阳台双标,6室,宜住2人,￥108,,"
                                        5.0
                                    ",单间出租,sanya
三亚市三亚湾路一房一厅家庭房,1室,宜住2人,￥298,,"
                                        5.0
                                    ",整租,sanya
三亚湾海云花间海景蜜月房一居室整租,1室,宜住2人,￥168,,"
                                        5.0
                                    ",整租,sanya
昌达海边花园无死角海景阳台单间三人房,6室,宜住3人,￥88,,5.0,单间出租,sanya
宿小美「春城」长租可议/抱坡溪湿地公园/东岸湿地公园/天鹅湖/红树林生态园/椰梦长廊/三亚凤凰岭海誓,3室,宜住5人,￥9999,,"
                                        5.0
                                    ",整租,sanya
三亚椰梦观海美宿椰梦园景阳台大床房,1室,宜住2人,￥1000,,"
                                        5.0
                                    ",整租,sanya
三亚椰梦观海美宿椰梦园景超大阳台双床房,1室,宜住2人,￥188,,"
                                        5.0
                                    ",整租,sanya
近海边近景区提供泳池,1室,宜住2人,￥158,,"
                                        5.0
                                    ",整租,sanya
艺海星河丨园景房/近椰梦长廊100米/5天免费接机/可做饭/近亿恒夜市,1室,宜住4人,￥208,,"
                                        5.0
                                    ",整租,sanya
宿小美「柚屿」露台别墅/近半岭温泉/天鹅湖/红色娘子军/东岸湿地公园/红树林生态公园/皇后广场,2室,宜住4人,￥322,,"
                                        5.0
                                    ",整租,sanya
宿小美「晨曦」河景/小区泳池/亚马逊丛林水乐园/海水浴场/椰梦长廊/恐龙馆/风情街/半岭温泉/水上乐,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
宿小美「木兮」国际玫瑰谷/凤凰岭/大东海旅游区/亚龙湾热带森林公园/亚龙湾海滩/红树林生态公园,2室,宜住4人,￥240,,"
                                        5.0
                                    ",整租,sanya
宿小美「雪梨」近亚马逊丛林水乐园/椰梦长廊/港务局码头/三亚星华游艇码头/大东海/鹿回头,3室,宜住5人,￥333,,"
                                        5.0
                                    ",整租,sanya
艺海星河丨海景蜜月大床房/近椰梦长廊100米/5天免费接机/可做饭/近亿恒夜市投影,1室,宜住2人,￥1000,,"
                                        5.0
                                    ",整租,sanya
新装修/舒适/4人·提款机/洗发水/沐浴露·2床[胜利购物广场/中环广场/春园海鲜广场],2室,宜住4人,￥1000,,"
                                        5.0
                                    ",整租,sanya
艺海丨投影海景双床房/近椰梦长廊,1室,宜住4人,￥1000,,"
                                        5.0
                                    ",整租,sanya
艺海星河丨双床亲子海景房/近椰梦长廊100米/5天免费接机/可做饭/近亿恒夜市,1室,宜住4人,￥1000,,"
                                        5.0
                                    ",整租,sanya
园景房/楼下就是海边/巨亿恒夜市1.4公里/楼下有小吃一条街！,1室,宜住4人,￥1000,,"
                                        5.0
                                    ",整租,sanya
宿小美「寻野」河景/小区泳池/亚马逊丛林水乐园/海水浴场/椰梦长廊/恐龙馆/风情街/半岭温泉/水上乐,3室,宜住6人,￥349,,"
                                        5.0
                                    ",整租,sanya
宿小美「好景」小区泳池/近椰梦长廊/凤凰岭海誓山盟/港务局码头/三亚星华游艇码头/红色娘子军/大东海,2室,宜住4人,￥259,,"
                                        5.0
                                    ",整租,sanya
宿小美「暮野」河景/小区泳池/亚马逊丛林水乐园/海水浴场/椰梦长廊/恐龙馆/风情街/半岭温泉/水上乐,2室,宜住8人,￥233,,"
                                        5.0
                                    ",整租,sanya
亚龙湾两居室洋房公寓/龙溪悦/亚龙湾会议中心/亚龙湾奥特莱斯/亚龙湾玫瑰谷,2室,宜住4人,￥1140,,"
                                        5.0
                                    ",整租,sanya
亚龙湾龙溪三房公寓/亚龙湾会议中心/亚龙湾奥特莱斯/龙溪家庭洋房公寓,3室,宜住6人,￥1026,,"
                                        5.0
                                    ",整租,sanya
宿小美「枕风」长租可议/近亚马逊丛林水乐园/三亚湾海水浴场/三亚风情街/情人桥/三亚湾椰梦长廊风景区,2室,宜住4人,￥233,,"
                                        5.0
                                    ",整租,sanya
宿小美「夏至」小区泳池/近半岭温泉/梦幻水上乐园/海旅免税城/红树林生态公园/三亚恐龙馆/三亚湾浴场,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
三亚湾临海度假别墅,4室,宜住10人,￥850,,"
                                        5.0
                                    ",整租,sanya
新装修/自然风光普通公寓/6人·窗户/独立卫浴·三居[三亚千古情/三亚东岸湿地公园],3室,宜住6人,￥288,,"
                                        5.0
                                    ",整租,sanya
宿小美「鹿港」鹿回头滨河公园/小东海/三亚凤凰岭海誓山盟景区/三亚风情街/鹿回头风景区/情人湾/椰梦,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
宿小美「夏序」三亚湾/三亚湾海水浴场/鹿回头/三亚湾椰梦长廊风景区/情人桥/三亚凤凰岛/三亚风情街,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
宿小美「云墅」小区泳池/南田神龙谷温泉/白马岭/藤桥西河滨河公园/棠河生态公园/亚特兰蒂斯/观鹿园,3室,宜住6人,￥333,,"
                                        5.0
                                    ",整租,sanya
三亚湾椰梦长廊度假民宿,4室,宜住10人,￥500,,"
                                        5.0
                                    ",整租,sanya
三亚湾天成中央海岸双露台全海景套房三室两厅两卫,3室,宜住6人,￥1388,,"
                                        5.0
                                    ",整租,sanya
宿小美「云牧」三亚凤凰岭海誓山盟/星华艇/鹿回头/港务局码头/小东海/海月广场/半山半岛帆船港/三亚,2室,宜住4人,￥259,,"
                                        5.0
                                    ",整租,sanya
宿小美「溪云」小区泳池/近半岭温泉/梦幻水上乐园/海旅免税城/红树林生态公园/三亚恐龙馆/三亚湾海水,1室,宜住2人,￥220,,"
                                        5.0
                                    ",整租,sanya
宿小美「水郡」吉阳湿地公园/红树林生态公园/亚龙湾热带森林公园/国际玫瑰谷/大东海/亚龙湾海滩,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
宿小美「悠然」小区泳池/亚龙湾热带天堂森林公园/海旅免税城/亚龙湾海底世界/红树林生态公园/情人桥/,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
海棠·高端住宅｜6人宜居带浴缸可做饭好停车可长租｜白马岭｜蜈支洲岛｜亚特兰蒂斯水世界｜CDF免税城｜,3室,宜住6人,￥318,,"
                                        5.0
                                    ",整租,sanya
云屿海.全海景一室一厅套房（自助厨房+洗衣机+影音84寸巨幕+绝美海边沙滩落日）,1室,宜住2人,￥788,,"
                                        5.0
                                    ",整租,sanya
宿小美「归林」露台别墅/近半岭温泉/天鹅湖/红色娘子军/东岸湿地公园/红树林生态公园/皇后广场,3室,宜住6人,￥366,,"
                                        5.0
                                    ",整租,sanya
宿小美「鹿鸣」长租可议/近亚马逊丛林水乐园/三亚湾海水浴场/三亚风情街/情人桥/三亚湾椰梦长廊风景区,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
宿小美「山薇」亚龙湾热带天堂森林公园/海旅免税城/亚龙湾海底世界/红树林生态公园/情人桥/海水浴场,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）汐屿.蜜月巨幕海景大床房,1室,宜住2人,￥588,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）若逸池·海景影院大床房,1室,宜住2人,￥498,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）墨上花开丨海景巨幕观影房,3室,宜住6人,￥928,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）浩瀚星空丨全海景巨幕观影三居室,3室,宜住6人,￥1088,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）皓霞丨海景一室一厅家庭套房,1室,宜住4人,￥648,,"
                                        5.0
                                    ",整租,sanya
泛夕舟·110度海景大床房（自助厨房+全屋智能+影音84寸巨幕+绝美日落）,1室,宜住2人,￥538,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）玉墨瓷·全海景二室二厅套房,2室,宜住4人,￥868,,"
                                        5.0
                                    ",整租,sanya
云梦泽.全海景大床房（全屋智能影音+洗衣机+厨房+观椰梦长廊绝美海景）,1室,宜住2人,￥618,,"
                                        5.0
                                    ",整租,sanya
观沧海·180度全海景大床房（全屋智能+洗衣机+影音92寸巨幕+绝美海边沙滩日落）,1室,宜住2人,￥739,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）顾云栖.开放式海景,1室,宜住2人,￥538,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）温馨·家庭海景亲子房,1室,宜住3人,￥298,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）日月星辰丨聆海巨幕观影3居室,3室,宜住6人,￥900,,"
                                        5.0
                                    ",整租,sanya
三亚芳斯汀·TianYa设计师海景民宿(三亚湾椰梦长廊店）沐夏繁星丨椰林套房,1室,宜住5人,￥648,,"
                                        5.0
                                    ",整租,sanya
宿小美「山阁」长租可议/小区泳池/近吉阳湿地公园/水上乐园/红树林公园/半岭温泉/恐龙馆/丛林水乐园,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
【海与岛】海棠湾豪华精装三居室全屋空调/可做饭/出行便利免费游泳池/近免税店/蜈支州岛,3室,宜住6人,￥310,,"
                                        5.0
                                    ",整租,sanya
[浪漫风情]三亚舒适精装两居室带空调/可做饭饭/近千古景区/海旅免税城/恒大商圈乐/迎宾路妇幼,2室,宜住4人,￥248,,"
                                        5.0
                                    ",整租,sanya
宿小美「月影」三亚湾/三亚湾海水浴场/鹿回头/三亚湾椰梦长廊风景区/情人桥/三亚凤凰岛/三亚风情街,1室,宜住2人,￥199,,"
                                        5.0
                                    ",整租,sanya
近cdf免税店/复式带阳台,3室,宜住6人,￥390,,"
                                        5.0
                                    ",整租,sanya
海棠湾精致简约/私家花园/温泉游泳池2卧2床适合4人入住,2室,宜住4人,￥161,,"
                                        5.0
                                    ",整租,sanya
海棠湾山景/典雅/·读书品茶/私家温泉/康养宜居,2室,宜住4人,￥284,,"
                                        5.0
                                    ",整租,sanya
海棠湾中式豪华典雅·3卧3床/适合6人入住·温泉·游泳池/儿童游乐园,3室,宜住6人,￥253,,"
                                        5.0
                                    ",整租,sanya
三亚亚特兰蒂斯两居别墅/情侣家庭/泳池/私家海滩｜艾迪逊风,2室,宜住4人,￥3000,,"
                                        5.0
                                    ",整租,sanya
海棠湾亚特兰蒂斯嘉年华海景家庭小两房公寓,2室,宜住4人,￥1500,,"
                                        5.0
                                    ",整租,sanya
海棠湾亚特兰蒂斯嘉年华海景家庭两房公寓,2室,宜住4人,￥1800,,"
                                        5.0
                                    ",整租,sanya
三亚亚特兰蒂斯五居别墅/麻将机/影院/泳池/私家海滩｜现代风,5室,宜住10人,￥4500,,"
                                        5.0
                                    ",整租,sanya
三亚亚特兰蒂斯海景公寓/小两房/超大游泳池/海景/私家海滩｜免税城,2室,宜住4人,￥1200,,"
                                        5.0
                                    ",整租,sanya
海棠湾亚特兰蒂斯嘉年华海景两房公寓,2室,宜住4人,￥1200,,"
                                        5.0
                                    ",整租,sanya
【莳家】近火车站/免税城/三亚湾/千古情/住三天送一天/三房两厅可住6人,3室,宜住6人,￥380,,"
                                        5.0
                                    ",整租,sanya
宿小美「梦归」/近半岭温泉/天鹅湖/红色娘子军/东岸湿地公园/红树林生态公园/皇后广场/六罗峡谷,3室,宜住6人,￥359,,"
                                        5.0
                                    ",整租,sanya
宿小美「风屿」长租可议/情人湾/鹿回头风景区/风情街/凤凰岭海誓山盟景区/临春岭森林公园/红树林生态,1室,宜住4人,￥211,,"
                                        5.0
                                    ",整租,sanya
宿小美「静夜」长租可议/吉阳湿地公园/梦幻水上乐园/千gu情风景区/恐龙馆/亚马逊丛林水乐园/三亚湾,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
宿小美「光栖」长租可议/国际玫瑰谷/凤凰岭/大东海旅游区/亚龙湾热带森林公园/亚龙湾海滩,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
宿小美「知丘」长租可议/吉阳湿地公园/三亚千gu情风景区/海旅免税城/红树林生态公园/三亚凤凰岭海誓,1室,宜住2人,￥199,,"
                                        5.0
                                    ",整租,sanya
宿小美「青葵」长租可议/小区泳池/近亚马逊丛林乐园/海旅免税城/恐龙馆/红树林生态公园/椰梦长廊,3室,宜住6人,￥459,,"
                                        5.0
                                    ",整租,sanya
宿小美「观塘」双层床/近小东海/鹿回头/天涯海角/三亚恐龙馆/亚龙湾热带天堂森林公园/海月广场,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
普通大床房,1室,宜住2人,￥120,,"
                                        5.0
                                    ",整租,sanya
普通双床房,1室,宜住2人,￥120,,"
                                        5.0
                                    ",整租,sanya
宿小美「雾屿」三亚恐龙馆/探险王国童玩世界/红色娘子军/亚马逊丛林乐园/三亚丝绸欢乐世界/海月广场,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
宿小美「向晚」长租可议/小区泳池/近海旅免税城/大悦城/红树林生态公园/海月广场/恐龙馆/临春岭森林,2室,宜住4人,￥259,,"
                                        5.0
                                    ",整租,sanya
宿小美「森恬」南田温泉神龙谷温泉/白马岭/泰迪主题乐园/亚特兰蒂斯塞波冬湾/观鹿园/土福湾,3室,宜住5人,￥339,,"
                                        5.0
                                    ",整租,sanya
宿小美「小满」小区泳池/可做饭/红树林公园/海旅免税城/梦幻水上乐园/东岸夜市/临春岭森林公园/风情,3室,宜住5人,￥333,,"
                                        5.0
                                    ",整租,sanya
坐拥全线三亚湾/露台俯瞰椰梦长廊/远眺南海观音。3卧，六人居住。三亚旺豪超市一路之隔。,3室,宜住6人,￥1180,,"
                                        5.0
                                    ",整租,sanya
【原岸】亲子双床房\西岛\千古情\椰梦长廊\蓝海购物广场\三亚夏日站广场\三亚火车站5分钟,1室,宜住3人,￥399,,"
                                        5.0
                                    ",整租,sanya
【原岸】市中心2居室\千古情\大悦城\水上乐园\火车站3分钟\海旅免税店\三亚站夏日广场,2室,宜住4人,￥699,,"
                                        5.0
                                    ",整租,sanya
【原岸】高级大床房\西岛\千古情\椰梦长廊\蓝海购物广场\三亚夏日站广场\三亚火车站5分钟,1室,宜住2人,￥399,,"
                                        5.0
                                    ",整租,sanya
【原岸】大悅城近商圈近医院Loft复式,2室,宜住4人,￥559,,"
                                        5.0
                                    ",整租,sanya
【原岸】市中心2居室\三亚站夏日广场\大悦城\千古情\水上乐园\海旅免税店\火车站3分钟,2室,宜住4人,￥499,,"
                                        5.0
                                    ",整租,sanya
【原岸】市中心2居室\三亚站夏日广场\大悦城\千古情\水上乐园\火车站3分钟\海旅免税店,2室,宜住4人,￥399,,"
                                        5.0
                                    ",整租,sanya
【原岸】豪华大床房\西岛\千古情\椰梦长廊\蓝海购物广场\三亚夏日站广场\三亚火车站5分钟,1室,宜住2人,￥399,,"
                                        5.0
                                    ",整租,sanya
宿小美「茉莉」吉阳湿地公园/宋城文化旅游度假区/凤凰岭海誓山盟景区/红树林生态公园/三亚湾海水浴场/,2室,宜住4人,￥239,,"
                                        5.0
                                    ",整租,sanya
标准双床加榻榻米房,1室,宜住2人,￥128,,"
                                        5.0
                                    ",整租,sanya
京基100公寓 豪华一房一厅,1室,宜住2人,￥358,,"
                                        5.0
                                    ",整租,shenzhen
京基100公寓 一房一厅 安全卫生,1室,宜住2人,￥338,,"
                                        5.0
                                    ",整租,shenzhen
深靠近九方购物中心圳北站附近行政一房,1室,宜住2人,￥499,,"
                                        5.0
                                    ",整租,shenzhen
深圳北站附近上塘地铁站情侣套房,1室,宜住2人,￥369,,"
                                        5.0
                                    ",整租,shenzhen
深圳红岭地铁站附近红岭中学对面的单间客房,5室,宜住1人,￥60,,"
                                        4.4
                                    ",单间出租,shenzhen
高新园地铁站附近  大冲科技园商务大床房,1室,宜住2人,￥358,,"
                                        4.9
                                    ",整租,shenzhen
深圳万象城对面豪华榻榻米大床房,1室,宜住2人,￥298,,"
                                        5.0
                                    ",整租,shenzhen
大鹏南澳近杨梅坑回然小院舒适四居室,4室,宜住11人,￥880,,"
                                        4.9
                                    ",整租,shenzhen
近玫瑰海岸 绿野仙洲 海景轰趴别墅,7室,宜住20人,￥6800,,"
                                        5.0
                                    ",整租,shenzhen
新和社区 独立大套房 带洗衣机 冰箱,1室,宜住2人,￥138,,"
                                        5.0
                                    ",整租,shenzhen
紧邻地铁1号线 大冲科技园高级双床房,2室,宜住4人,￥458,,"
                                        5.0
                                    ",整租,shenzhen
汉诺威 阳明公寓 商务大床房,1室,宜住2人,￥138,,"
                                        5.0
                                    ",整租,shenzhen
前海卓越壹号两居室高端公寓,2室,宜住4人,￥1280,,5.0,整租,shenzhen
桔钓沙三房,3室,宜住8人,￥780,,"
                                        4.9
                                    ",整租,shenzhen
福田中心区会展中心附近小区单间,4室,宜住1人,￥95,,"
                                        4.8
                                    ",单间出租,shenzhen
布心地铁站旁 经济实惠单房 您旅行中的家,6室,宜住1人,￥85,,"
                                        4.6
                                    ",单间出租,shenzhen
会展中心附近小区 单间 可做饭,4室,宜住1人,￥95,,"
                                        4.6
                                    ",单间出租,shenzhen
近高新园地铁站 大冲科技园豪华大床房,1室,宜住2人,￥398,,"
                                        5.0
                                    ",整租,shenzhen
近深圳北双地铁口楼下购物中心花园主题大床房,1室,宜住2人,￥368,,"
                                        5.0
                                    ",整租,shenzhen
京基100单身公寓房,1室,宜住2人,￥288,,"
                                        5.0
                                    ",整租,shenzhen
京基100 豪华单身公寓房,1室,宜住2人,￥288,,"
                                        5.0
                                    ",整租,shenzhen
京基100公寓 豪华单身公寓,1室,宜住2人,￥288,,"
                                        4.9
                                    ",整租,shenzhen
【时代】海上水湾深圳湾蛇口口岸大开间,1室,宜住2人,￥368,,5.0,整租,shenzhen
【面包树民宿】清隐安逸·205大床房|深圳较场尾,1室,宜住2人,￥500,,"
                                        5.0
                                    ",整租,shenzhen
会展中心 市民中心 星河世纪温馨大床房 ,1室,宜住2人,￥358,,"
                                        5.0
                                    ",整租,shenzhen
深圳清逸短租公寓/福田岗厦星河世纪/卓悦中心/购物公园岗厦城/地铁站私享落地窗,1室,宜住2人,￥358,,"
                                        5.0
                                    ",整租,shenzhen
深圳火车站 国贸地铁一号线 罗湖站附近 大床房,1室,宜住2人,￥218,,"
                                        5.0
                                    ",整租,shenzhen
创业花园豪华单人间,1室,宜住1人,￥129,,"
                                        4.4
                                    ",整租,shenzhen
【港岛】东门老街京基万象城大剧院落地窗大单间,1室,宜住2人,￥338,,5.0,整租,shenzhen
金誉短租公寓标准双床房,1室,宜住4人,￥348,,"
                                        5.0
                                    ",整租,shenzhen
高新园地铁口+万象天地+深圳大学+之窗温馨舒适单间,3室,宜住1人,￥248,,"
                                        5.0
                                    ",单间出租,shenzhen
西乡坪洲地铁站附近北欧风格大床房,1室,宜住2人,￥158,,"
                                        5.0
                                    ",整租,shenzhen
深圳市汉诺威舒适大床房,1室,宜住2人,￥148,,"
                                        4.1
                                    ",整租,shenzhen
万象城对面 地王大厦附近 豪华榻榻米大床房,1室,宜住2人,￥298,,"
                                        5.0
                                    ",整租,shenzhen
香港关口附近 一居室 可住2人,1室,宜住2人,￥248,,"
                                        5.0
                                    ",整租,shenzhen
⑧近沙鱼涌／玫瑰海岸／官湖／海景大床房／浴缸,1室,宜住2人,￥226,,"
                                        5.0
                                    ",整租,shenzhen
万象城对面豪华榻榻米大床房,1室,宜住2人,￥298,,"
                                        5.0
                                    ",整租,shenzhen
茂业商场附近 豪华两室一厅,2室,宜住5人,￥368,,"
                                        4.9
                                    ",整租,shenzhen
【面包树民宿】异域风情·大床房|深圳较场尾,8室,宜住2人,￥360,,"
                                        5.0
                                    ",单间出租,shenzhen
靠近九方购物中心星河传奇时尚一房一厅,1室,宜住2人,￥399,,"
                                        4.9
                                    ",整租,shenzhen
【面包树民宿】异域风情·亲子双床房|深圳较场尾,8室,宜住2人,￥400,,"
                                        5.0
                                    ",单间出租,shenzhen
无印良品风格小屋巴黎风,1室,宜住2人,￥268,,"
                                        5.0
                                    ",整租,shenzhen
京基100 舒适一房一厅,1室,宜住2人,￥338,,"
                                        4.8
                                    ",整租,shenzhen
大运中心附近欧式一居公寓,1室,宜住2人,￥178,,"
                                        4.7
                                    ",整租,shenzhen
西涌（西冲）恬园三楼阳台观海房，豪华别墅,4室,宜住12人,￥1688,,"
                                        5.0
                                    ",整租,shenzhen
